,Spectra,Host,HostDistance,Contrast,eta,alpha,rho
simu_2292,/sps/ztf/data/sedm/redux/20180721/hgspec_target_crr_b_ifu20180721_09_32_27_ZTF18abfhaji.txt,/sps/ztf/data/sedm/redux/20211203/e3d_crr_b_ifu20211203_04_31_16_ZTF19abzwtiu.fits,7.129113781541478,0.8937001632768532,1.0432863060005197,1.7268317989373407,-0.22686420331434276
simu_2293,/sps/ztf/data/sedm/redux/20180721/hgspec_target_crr_b_ifu20180721_05_32_10_ZTF18abhpzig.txt,/sps/ztf/data/sedm/redux/20211203/e3d_crr_b_ifu20211203_04_31_16_ZTF19abzwtiu.fits,5.856163968353708,0.9383191623887579,1.831420005937858,1.90058264155375,-0.2820099882498256
simu_2294,/sps/ztf/data/sedm/redux/20191027/spec_auto_robot_lstep1__crr_b_ifu20191027_04_31_52_ZTF19acgbkzr.txt,/sps/ztf/data/sedm/redux/20220130/e3d_crr_b_ifu20220130_06_43_04_ZTF20aamsjws.fits,7.765474919940069,0.9593230477207462,2.225486855906527,2.9430876972522046,-0.09819070513154943
simu_2295,/sps/ztf/data/sedm/redux/20190918/hgspec_target_crr_b_ifu20190918_03_32_34_ZTF19abxihut.txt,/sps/ztf/data/sedm/redux/20211220/e3d_crr_b_ifu20211220_09_32_28_ZTF19accdehb.fits,1.8686498468249007,0.30210490968854886,1.0432863060005197,3.81184191033425,-0.20848227500251515
simu_2296,/sps/ztf/data/sedm/redux/20180816/hgspec_target_crr_b_ifu20180816_05_05_00_ZTF18abmjvuf.txt,/sps/ztf/data/sedm/redux/20220129/e3d_crr_b_ifu20220129_08_00_51_ZTF20aamdsjv.fits,6.263443918666804,0.542876537713371,0.8462528810161853,3.290589382485023,-0.061426848507894205
simu_2297,/sps/ztf/data/sedm/redux/20180907/hgspec_target_crr_b_ifu20180907_08_09_15_ZTF18abotdef.txt,/sps/ztf/data/sedm/redux/20220130/e3d_crr_b_ifu20220130_06_43_04_ZTF20aamsjws.fits,2.4997183778368526,0.49158915031662725,1.2403197309848544,3.290589382485023,-0.1533364900670323
simu_2298,/sps/ztf/data/sedm/redux/20201112/hgspec_target_crr_b_ifu20201112_09_54_06_ZTF20acowpur.txt,/sps/ztf/data/sedm/redux/20211219/e3d_crr_b_ifu20211219_08_39_47_ZTF20aciuakv.fits,7.002585590825333,0.029478478665272798,0.8462528810161853,4.159343595567068,-0.17171841837885993
simu_2299,/sps/ztf/data/sedm/redux/20180824/hgspec_target_crr_b_ifu20180824_03_28_38_ZTF18abmjvpb.txt,/sps/ztf/data/sedm/redux/20211216/e3d_crr_b_ifu20211216_08_44_25_ZTF18abwkzuc.fits,2.0138834093817093,0.3840969741076276,1.2403197309848544,3.290589382485023,-0.19010034669068754
simu_2300,/sps/ztf/data/sedm/redux/20201112/hgspec_target_crr_b_ifu20201112_09_54_06_ZTF20acowpur.txt,/sps/ztf/data/sedm/redux/20211203/e3d_crr_b_ifu20211203_04_31_16_ZTF19abzwtiu.fits,6.527758634568642,0.23232619015358175,0.45218603104751615,3.116838539868614,-0.3371557731853085
simu_2301,/sps/ztf/data/sedm/redux/20180721/hgspec_target_crr_b_ifu20180721_09_32_27_ZTF18abfhaji.txt,/sps/ztf/data/sedm/redux/20211218/e3d_crr_b_ifu20211218_11_36_05_ZTF20aafrjqw.fits,7.447485789881677,0.6116236661012153,1.437353155969189,3.290589382485023,-0.1533364900670323
